[ID],[CarMadeYear],[Car Name],[Features],[Features_2],[Features_3],[Features_4],[Features_5],[Features_6],[Features_7],[Features_8],[Features_9],[Features_10],[Features_11],[Features_12],[Features_13],[Features_14],[Features_15],[Features_16],[Standard Equipment],[Standard Equipment_2],[Standard Equipment_3],[Standard Equipment_4],[Standard Equipment_5],[Standard Equipment_6],[Standard Equipment_7],[Standard Equipment_8],[Standard Equipment_9],[Standard Equipment_10],[Standard Equipment_11],[Standard Equipment_12],[Standard Equipment_13],[Standard Equipment_14],[Standard Equipment_15],[Standard Equipment_16],[Standard Equipment_17],[Standard Equipment_18],[Standard Equipment_19],[Standard Equipment_20],[Standard Equipment_21],[Standard Equipment_22],[Standard Equipment_23],[Standard Equipment_24],[Standard Equipment_25],[Standard Equipment_26],[Standard Equipment_27],[Standard Equipment_28],[Standard Equipment_29],[Standard Equipment_30],[Standard Equipment_31],[Standard Equipment_32],[Standard Equipment_33],[Standard Equipment_34],[Standard Equipment_35],[Standard Equipment_36],[Standard Equipment_37],[Standard Equipment_38],[Standard Equipment_39],[Standard Equipment_40],[Standard Equipment_41],[Standard Equipment_42],[Standard Equipment_43],[Standard Equipment_44],[Standard Equipment_45],[Standard Equipment_46],[Standard Equipment_47],[Standard Equipment_48],[Standard Equipment_49],[Standard Equipment_50],[Standard Equipment_51],[Standard Equipment_52],[Standard Equipment_53],[Standard Equipment_54],[Standard Equipment_55],[Standard Equipment_56],[Standard Equipment_57],[Standard Equipment_58],[Standard Equipment_59],[Standard Equipment_60],[Standard Equipment_61],[Standard Equipment_62],[Standard Equipment_63],[Standard Equipment_64],[Standard Equipment_65],[Standard Equipment_66],[Standard Equipment_67],[Standard Equipment_68],[Sellers Notes],[Dealer Name],[Dealer Address],[Image URL 1],[Image URL 2],[Price],[Mileage],[Fuel],[Body Style],[Engine],[Exterior Color],[Transmission],[Interior Color],[Stock #],[Drivetrain],[VIN],[Doors],[Wheelbase],[Page URL],, , 
655,2012,2012 Honda Civic LX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,992 ","4,993",,,1.8L,Alabaster Silver Met...,5-Speed Auto,Stone,1201054,,19XFB2F5XCE311644,4,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=82048524&listingRecNum=662&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
656,2011,2011 Honda Civic LX,ABS Brakes,Air Conditioning,AM/FM Radio,Anti-Whiplash Front Head Restraints,Bodyside Moldings,Bumpers: Body-Color,CD Player,Door Mirrors: Body-Color,Driver Door Bin,Driver Vanity Mirror,Dual Front Impact Airbags,Dual Front Side Impact Airbags,Front Beverage Holders,Front Bucket Seats,Front Center Armrest,Ignition Disable,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,821,AM/FM stereo,Anti-theft alarm system,Audio system security,Bucket front seats,Cargo area light,Center Console: Full with covered storage,Clock: In-radio display,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Curb weight: 2,Daytime running lights,Digital Audio Input,Double wishbone rear suspension,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 25,Fuel Consumption: Highway: 36,Fuel Type: Regular unleaded,Grille with chrome bar,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Intermittent front wipers,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.7,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,Metal-look shift knob trim,MP3 player,Overall height: 56.5,Overall Length: 177.3,Overall Width: 69.0,Passenger Airbag,Plastic/vinyl steering wheel trim,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Rear bench,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Spare Tire Mount Location: Inside under cargo,Speed Sensitive Audio Volume Control,Speed-proportional power steering,Steel spare wheel rim,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,"Seller's Notes: Welcome to Pete's! All prices shown are LIST prices and are negotiable. Pete's has been in business in Great Falls for 48 years and our overriding concern is customer service and satisfaction. We offer good value for your trade in and have several major primary and secondary finance lenders. Please call Chris Stefani, Internet Sales Manager, at 888-807-0019 .",,,,,"$19,995 ","33,709",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Crystal Black Pearl,5-Speed Automatic,,120167,FWD,19XFA1F53BE001895,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=86087295&listingRecNum=651&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
657,2010,2010 Honda Civic EX,12v Power Outlet,16 Inch Alloy Wheels,ABS Brakes,Air Conditioning,AM/FM,Anti-Theft,Aux. Audio Input,Body Side Moldings,Carpeted Floor Mats,CD Player,Center Arm Rest,Center Console,Child Proof Door Locks,Clock,Cloth Interior Surface,Compass And Temperature Display,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bucket front seats,Cargo area light,Clock: In-radio display,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Double wishbone rear suspension,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 25,Fuel Consumption: Highway: 36,Fuel Type: Regular unleaded,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.7,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,Metal-look shift knob trim,MP3 player,Passenger Airbag,Plastic/vinyl steering wheel trim,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Spare Tire Mount Location: In,Speed Sensitive Audio Volume Control,Speed-proportional power steering,Steel spare wheel rim,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,Total Number of Speakers: 6,Variable intermittent front wipers,"Seller's Notes: This 2010 Honda Civic 4dr EX Sedan features a 1.8L L4 MPI SOHC 16V 4cyl Gasoline engine. It is equipped with a 5 Speed Automatic transmission. The vehicle is Atomic Blue Metallic with a Grey Cloth interior. - Air Conditioning, Cruise Control, Tinted Windows, Power Steering, Power Windows, Power Door Locks, Power Mirrors, Clock, Tachometer, Digital Info Center, Tilt Steering Wheel, Telescoping Steering Wheel, Steering Wheel Radio Controls, Sunroof, Driver Airbag, Passenger Airbag, Side Airbags, Keyless Entry, Security System, ABS Brakes, Rear Defogger, Intermittent Wipers, AM-FM, CD Player, Anti-Theft, Factory Premium Sound System, 16 inch Alloy Wheels, Cloth Interior Surface,, Center Arm Rest, Cup Holders, Remote Fuel Door, Remote Trunk Lid, Vanity Mirrors, Center Console, Body Side Moldings, Child Proof Door Locks, Daytime Running Lights, Side Curtain Airbags, 12v Power Outlet, Carpeted Floor Mats, Compass And Temperature Display, Compass And Temperature Display, Aux. Audio Input - -",,,,,"$19,991 ","19,684",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Atomic Blue Metallic,5-Speed Automatic,Gray,19740A,FWD,2HGFA1F82AH314614,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87567693&listingRecNum=666&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
658,2009,2009 Honda Civic EX,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bucket front seats,Cargo area light,Clock: In-radio display,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cstatic-images.com/phototab/DMI/151887/H125422A.jpg,http://www.cstatic-images.com/phototab/DMI/151887/H125422A.02.jpg,"$19,995 ","34,449",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Silver,5-Speed Automatic,,H125422A,FWD,19XFA16869E000521,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87173845&listingRecNum=652&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
659,2011,2011 Honda Civic,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bucket front seats,Cargo area light,Clock: In-radio display,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,991 ","15,715",Gasoline,Coupe,1.8L I4 16V MPFI SOHC,Silver,5-Speed Automatic,Black,BH518689,FWD,2HGFG1B84BH518689,2,"104""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87233602&listingRecNum=665&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
660,2010,2010 Honda Civic EX,Air Conditioning,Alarm System,Alloy Wheels,AM/FM,Anti-Lock Brakes,CD,Child Safety Door Locks,Driver Airbag,Front Air Dam,Front Side Airbag,Interval Wipers,Keyless Entry,Navigation,Power Locks,Power Mirrors,Rear Defroster,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bucket front seats,Cargo area light,Clock: In-radio display,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Double wishbone rear suspension,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 25,Fuel Consumption: Highway: 36,Fuel Type: Regular unleaded,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.7,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,Metal-look shift knob trim,MP3 player,Passenger Airbag,Plastic/vinyl steering wheel trim,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Spare Tire Mount Location: In,Speed Sensitive Audio Volume Control,Speed-proportional power steering,Steel spare wheel rim,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,Total Number of Speakers: 6,Variable intermittent front wipers,"Seller's Notes: CALL ALEX 888-754-9263 OR EMAIL alex@parksmotorsales.com All of our vehicles pass a full inspection by our GM certified technicians. Please mention that you saw us on cars.com. For an additional $100 off, print this ad and present it to Alex Plunkett when you arrive at the dealership. WE OFFER LOW RATE VEHICLE FINANCING WHETHER GOOD, BAD OR NO CREDIT!CALL NOW TO SCHEDULE AN APPOINTMENT!!Mon-Fri8am-7pm Sat9am-6pm",,,http://www.cstatic-images.com/phototab/DMI/150393/241027T.jpg,http://www.cstatic-images.com/phototab/DMI/150393/241027T.02.jpg,"$19,995 ","44,324",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Red,5-Speed Automatic,Charcoal,241027T,FWD,2HGFA1F83AH502669,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87790920&listingRecNum=656&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
661,2010,2010 Honda Civic EX-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,991 ","34,095",,,1.8L,Urban Titanium Metal...,5-Speed Auto,Beige,AE041140,,19XFA1F95AE041140,4,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=86844234&listingRecNum=669&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
662,2009,2009 Honda Civic Si,Abs: 4-Wheel,Adjustable Rear Headrests: Height Adjustable,Air Filtration,Aluminum Accents,Ambient Lighting,Antenna Type: Element,Armrests: Rear Center,Auxiliary Audio Input: Mp3,Auxiliary Audio Input: Usb,Bumper Color: Body-Color,Center Console: Front Console With Armrest And Storage,Door Handle Color: Body-Color,Electronic Brakeforce Distribution,Exhaust Tip Color: Chrome,Floor Mat Material: Carpet,Floor Mats: Front And Rear,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Braking Assist,Cargo area light,Clock: In-radio display,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Double wishbone rear suspe,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front fog/driving lights,Front reading lights,Front sport seat,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 21,Fuel Consumption: Highway: 29,Fuel Type: Premium unleaded,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Leather/aluminum shift knob trim,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 6.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Premium cloth seat upholstery,Privacy glass: Light,Rear bench,Rear seats center armrest,Rear spoiler: Wing,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Sport,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,Seller's Notes: UP FOR SALE IS A HARD TO FIND CIVIC Si WITH GREAT MILES AND GREAT OPTIONS. THIS CAR HAS THE 6 SPD MANAUL TRANSMISSION WITH A POWER MOONROOF. ALL OF THE POWER OPTIONS WORK GREAT. THE INTERIOR IS VERY CLEAN WITH NO STAINS OR HOLES IN THE SEATS OR CARPETS. THE OUTSIDE IS VERY NICE WITH NO DENTS OR SCRATCHES. WHEELS ARE ALUMINIUM AND THE FRONT TIRES ARE NEW AND REARS ARE ABOUT 20%. THIS CAR COMES WITH 2 KEYED REMOTES.,,,http://www.cstatic-images.com/phototab/DMI/197116/06975.jpg,http://www.cstatic-images.com/phototab/DMI/197116/06975.02.jpg,"$19,995 ","46,096",Gasoline,Sedan,2.0L I4 16V MPFI DOHC,Black,6-Speed Manual,Black,6975,FWD,2HGFA55589H706975,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=85789294&listingRecNum=657&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
663,2012,2012 Honda Civic EX,4 Cylinder Engine,4-Wheel Disc Brakes,5-Speed A/T,A/C,A/T,ABS,Adjustable Steering Wheel,Aluminum Wheels,AM/FM Stereo,Automatic Headlights,Auxiliary Audio Input,Auxiliary Power Outlet,Bluetooth Connection,Brake Assist,Bucket Seats,CD Player,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.6,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look door trim,Metal-look shift knob trim,MP3 player,Multi-link rear suspension,Passenger Airbag,Plastic/vinyl steering wheel trim,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Spare Tire M,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Steel spare wheel rim,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,Seller's Notes: We've moved our Pre-owned Dealership to 7575 Burnet Road (SE corner of Burnet Road & Northcross)by Top Notch Burger. Please be sure to call Internet Sales at 888-290-6927 to verify availability and for internet pricing!!!!,,,http://www.cstatic-images.com/phototab/DMI/108981/12464A.jpg,http://www.cstatic-images.com/phototab/DMI/108981/12464A.02.jpg,"$19,994 ","4,470",Gasoline,Coupe,1.8L I4 16V MPFI SOHC,Cool Mist Metallic,5-Speed Automatic,Gray,12464A,FWD,2HGFG3B82CH505677,2,"103""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=81587032&listingRecNum=658&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
664,2012,2012 Honda Civic EX-L,ABS (4-Wheel),Air Conditioning,Alloy Wheels,AM/FM Stereo,Bluetooth Wireless,Dual Air Bags,Head Curtain Air Bags,Heated Seats,Keyless Entry,Leather,Moon Roof,Mp3 (Single Disc),Power Door Locks,Power Steering,Side Air Bags,Tilt & Telescoping Wheel,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Driver and passenger heated-cushion,driver heated-seatback,Dual vanity mirrors,Dusk sensing headlights,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,Heated driver mirror,Heated passenger mirror,In-Dash single CD player,Independent front suspension classification,Independent rear suspens,Instrumentation: Low fuel level,Interior air filtration,Leather seat upholstery,Leather/metal-look steering wheel trim,Machined aluminum rims,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,"Seller's Notes: LOCATED AT LUTE RILEY HONDA THIS 2012 HONDA CIVIC HAS A CLEAN CARFAX AND IS A ONE-OWNER VEHICLE.THIS FOUR DOOR AUTOMATIC HAS LEATHER INTERIOR AND POWER WIMDOWS. IT IS SHOWROOM READY. THIS VEHICLE IS ALSO HONDA CERTIFIED AND COMES WITH HONDA'S GREAT 100,000 MILE WARRANTY!!!! This is just one of hundreds of Preowned and Certified Honda's! Go to www.luterileyhonda.com to view our entire inventory. Happy New Year and may you and your family have a Great Year!",Lute Riley Honda,1331 N Central Expy. Richardson TX 75080 (Map),http://www.cstatic-images.com/phototab/DMI/21600/SCH501773.jpg,http://www.cstatic-images.com/phototab/DMI/21600/SCH501773.02.jpg,"$19,993 ","11,429",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Gray,5-Speed Automatic,Gray,SCH501773,FWD,2HGFB2F96CH501773,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=85510718&listingRecNum=659&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
665,2011,2011 Honda Civic Si,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Braking Assist,Cargo area light,Clock: In-radio display,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cstatic-images.com/phototab/DMI/100131/MBH701697L.jpg,http://www.cstatic-images.com/phototab/DMI/100131/MBH701697L.02.jpg,"$19,993 ","15,203",Gasoline,Sedan,2.0L I4 16V MPFI DOHC,Gray,6-Speed Manual,,MBH701697L,FWD,2HGFA5E56BH701697,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=86177474&listingRecNum=660&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
666,2008,2008 Honda Civic LX,817,Curb Weight: 2,Front Leg Room,,,,,,,,,,,,,,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,817,AM/FM stereo,Anti-theft alarm system,Audio system security,Bucket front seats,Cargo area light,Center Console: Full with covered storage,Clock: In-radio display,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Curb weight: 2,Daytime running lights,Digital Audio Input,Double wishbone rear suspension,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 25,Fuel Consumption: Highway: 36,Fuel Type: Regular unleaded,Grille with chrome bar,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Intermittent front wipers,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.7,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,Metal-look shift knob trim,MP3 player,Overall height: 56.5,Overall Length: 176.7,Overall Width: 69.0,Passenger Airbag,Plastic/vinyl steering wheel trim,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Rear bench,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Spare Tire Mount Location: Inside under cargo,Speed Sensitive Audio Volume Control,Speed-proportional power steering,Steel spare wheel rim,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,"Seller's Notes: This is the car you have been looking for, legendary Honda reliability and great gas mileage!! Power windows, power locks tilt and cruise!!! Runs and drives like new call Kenny NOW 888-457-1998 Here at Legacy Ford Lincoln Mercury, we make customer service our #1 priority. From detailed history reports to doorstep delivery, we make sure your car buying experience is a pleasant one. We work with several lenders and are able to offer you the very best financing options around, tailored to any budget. Please call Kenny Forsythe today 888-457-1998 .",,,http://www.cstatic-images.com/phototab/DMI/158125/77089.jpg,http://www.cstatic-images.com/phototab/DMI/158125/77089.02.jpg,"$19,993 ","40,899",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,White,5-Speed Automatic,Tan,77089,FWD,1HGFA16598L005077,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=86552644&listingRecNum=661&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D6,,,
